sample_idx,sample_type,tied_best_scores,first_margin
0,2,1,0.1600370556116104
1,1,1,0.14869347214698792
2,1,1,0.6039635539054871
3,1,24,0.08875968307256699
4,1,3,0.029731914401054382
5,2,1,0.059842798858881
6,1,9,0.18418636918067932
7,1,40,0.5557262301445007
8,1,1,0.04754743352532387
9,1,44,0.05397669970989227
10,1,1,0.2853759527206421
11,2,1,0.4017188549041748
12,2,1,0.20866142213344574
13,1,6,0.3553154170513153
14,1,45,0.6134776473045349
15,1,22,0.09604495018720627
16,1,36,0.13524025678634644
17,1,1,0.403950572013855
18,2,1,0.09255769848823547
19,2,1,0.2434372901916504
20,2,1,0.030525049194693565
21,2,1,0.0029300579335540533
22,2,1,0.0502190925180912
23,2,1,0.12548623979091644
24,1,16,0.19564156234264374
25,2,1,0.045852240175008774
26,1,1,0.2889367640018463
27,1,19,0.14757709205150604
28,1,26,0.03694690763950348
29,2,1,0.26419854164123535
30,1,1,0.27611860632896423
31,2,1,0.12307480722665787
32,1,17,0.030690375715494156
33,2,1,0.2566538155078888
34,1,9,0.14367936551570892
35,1,30,0.011321698315441608
36,2,3,0.012757275253534317
37,2,2,0.03977805748581886
38,3,1,0.15769191086292267
39,1,1,0.09754985570907593
40,1,25,0.14837805926799774
41,2,1,0.0949774757027626
42,1,15,0.01928328536450863
43,1,36,0.10702776908874512
44,1,15,0.1179785281419754
45,2,1,0.23176372051239014
46,2,1,0.059973154217004776
47,3,1,0.07190262526273727
48,1,4,0.17151837050914764
49,1,1,0.3664061725139618
50,1,12,0.0007412944687530398
51,1,1,0.5803764462471008
52,1,2,0.03179765120148659
53,1,1,0.6178507208824158
54,2,1,0.11002194136381149
55,1,1,0.3359147012233734
56,1,36,0.08992531150579453
57,1,1,0.19599337875843048
58,1,13,0.10707512497901917
59,1,1,0.4425587058067322
60,1,30,0.05861617252230644
61,2,2,0.0396987646818161
62,1,7,0.07111023366451263
63,1,1,0.24678155779838562
64,1,2,0.2886323034763336
65,2,1,0.08012238144874573
66,1,56,0.4043976068496704
67,2,1,0.251876562833786
68,1,23,0.01785755716264248
69,2,8,0.023840703070163727
70,1,15,0.15321685373783112
71,1,2,0.26641929149627686
72,3,1,0.1250942498445511
73,1,3,0.26892325282096863
74,2,6,0.08942680060863495
75,2,1,0.07654368132352829
76,2,1,0.1851288080215454
77,1,8,0.013404874131083488
78,1,3,0.1470695436000824
79,2,1,0.04697936028242111
80,1,4,0.2692052721977234
81,2,1,0.5327611565589905
82,2,2,0.016514794901013374
83,2,1,0.05105377733707428
84,2,1,0.19790330529212952
85,1,24,0.03106335550546646
86,2,1,0.18876555562019348
87,1,11,0.04067030921578407
88,1,45,0.07145591825246811
89,2,1,0.05469441041350365
90,1,2,0.05902845785021782
91,2,1,0.05475538596510887
92,1,1,0.3802711069583893
93,1,10,0.03261302039027214
94,1,41,0.14360758662223816
95,1,40,0.03150501847267151
96,1,51,0.16098469495773315
97,1,1,0.40939369797706604
98,1,1,0.2728201150894165
99,1,6,0.12860582768917084
100,1,1,0.07039576768875122
101,1,22,0.0005711272242479026
102,1,3,0.10212041437625885
103,1,66,0.26352620124816895
104,1,18,0.023442553356289864
105,1,6,0.07326358556747437
106,2,1,0.05740710347890854
107,2,2,0.08401364833116531
108,1,17,0.0005549192428588867
109,1,1,0.03384816274046898
110,1,22,0.0787368044257164
111,2,1,0.1642352044582367
112,1,1,0.08493340015411377
113,1,18,0.15359561145305634
114,1,26,0.005639137700200081
115,1,1,0.4370056688785553
116,1,5,0.00980386883020401
117,2,1,0.2069709300994873
118,1,40,0.2626505494117737
119,2,1,0.08195317536592484
120,1,7,0.12033093720674515
121,1,1,0.3882933259010315
122,1,1,0.410017728805542
123,1,1,0.07795513421297073
124,1,6,0.1447906494140625
125,3,1,0.37781229615211487
126,1,15,0.003743821056559682
127,3,1,0.1256314516067505
128,2,1,0.1281905472278595
129,1,1,0.008149944245815277
130,2,4,0.06565860658884048
131,1,55,0.5517158508300781
132,1,38,0.018328288570046425
133,2,1,0.19724492728710175
134,1,1,0.1304343044757843
135,2,1,0.11893108487129211
136,2,5,0.18262387812137604
137,2,1,0.07243270426988602
138,1,35,0.026318185031414032
139,3,1,0.21112211048603058
140,2,1,0.0076767816208302975
141,1,43,0.5056887865066528
142,1,18,0.02831232361495495
143,1,24,0.02098553441464901
144,1,23,0.045699652284383774
145,2,1,0.08954526484012604
146,2,1,0.17308470606803894
147,1,31,0.2756889760494232
148,2,1,0.0425899513065815
149,3,1,0.32083505392074585
150,3,1,0.21183337271213531
151,1,19,0.009152126498520374
152,1,19,0.05542930215597153
153,1,16,0.010733667761087418
154,1,12,0.1652100384235382
155,1,28,0.0020360099151730537
156,2,1,0.5846534371376038
157,1,2,0.07816129922866821
158,1,6,0.07179225236177444
159,1,1,0.16193515062332153
160,1,7,0.09512454271316528
161,2,1,0.24039533734321594
162,1,27,0.020326409488916397
163,2,1,0.029219843447208405
164,2,11,0.10828877985477448
165,1,21,0.02075791358947754
166,1,17,0.09864845126867294
167,1,8,0.06194349005818367
168,2,1,0.13265909254550934
169,1,9,0.08914190530776978
170,1,1,0.25659799575805664
171,1,32,0.22675403952598572
172,3,1,0.28167447447776794
173,1,1,0.43219462037086487
174,1,1,0.1512598842382431
175,2,1,0.0005899417446926236
176,2,1,0.062489062547683716
177,2,1,0.2408449798822403
178,1,27,0.8749685287475586
179,1,1,0.06843260675668716
180,3,1,0.059655290096998215
181,1,9,0.006517896428704262
182,1,28,0.02234804630279541
183,1,11,0.11239279061555862
184,2,1,0.23225069046020508
185,1,3,0.007406554650515318
186,1,1,0.18945755064487457
187,2,1,0.08014645427465439
188,2,1,0.13980568945407867
189,2,1,0.1988118290901184
190,1,21,0.06009841710329056
191,1,17,0.19070909917354584
192,1,1,0.05159282311797142
193,2,1,0.11286459118127823
194,2,1,0.24959935247898102
195,1,18,0.07663203775882721
196,2,1,0.3755536377429962
197,3,1,0.09214681386947632
198,1,17,0.0743245780467987
199,1,7,0.06247776746749878
200,3,1,0.10578203946352005
201,1,38,0.12399887293577194
202,1,47,0.0366053469479084
203,1,10,0.00374201568774879
204,2,1,0.16740141808986664
205,1,51,0.16444385051727295
206,2,1,0.19867421686649323
207,1,47,0.001094622304663062
208,1,16,0.005015588831156492
209,2,1,0.10448690503835678
210,1,29,0.019251812249422073
211,2,1,0.3273504674434662
212,2,1,0.08647292852401733
213,1,1,0.3486223816871643
214,1,3,0.08707535266876221
215,1,2,0.2854454219341278
216,2,1,0.10468621551990509
217,1,5,0.17214639484882355
218,1,23,0.09366937726736069
219,1,7,0.05600019544363022
220,1,39,0.1225065141916275
221,2,1,0.28157445788383484
222,2,1,0.004129752516746521
223,1,1,0.0030984950717538595
224,1,21,0.04485341161489487
