Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,27932,3575,6461,8843,11092,13112,15042,16816,55836,83768
2,42095,2306,3479,4230,4765,5159,5440,5638,6360,48455
3,7632,109,128,135,140,141,142,142,145,7777
total,77659,5990,10068,13208,15997,18412,20624,22596,62341,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,33.34,4.27,7.71,10.56,13.24,15.65,17.96,20.07,66.66,100.00
2,86.87,4.76,7.18,8.73,9.83,10.65,11.23,11.64,13.13,100.00
3,98.14,1.40,1.65,1.74,1.80,1.81,1.83,1.83,1.86,100.00
total,55.47,4.28,7.19,9.43,11.43,13.15,14.73,16.14,44.53,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,19.95,2.55,4.61,6.32,7.92,9.37,10.74,12.01,39.88,59.83
2,30.07,1.65,2.48,3.02,3.40,3.69,3.89,4.03,4.54,34.61
3,5.45,0.08,0.09,0.10,0.10,0.10,0.10,0.10,0.10,5.56
total,55.47,4.28,7.19,9.43,11.43,13.15,14.73,16.14,44.53,100.00
