dataset,cfg,sample_type,avg_tier2_in_expected_top8,avg_first_margin,num_samples
cauctions,cauctions_cfg10,1,7.0,0.245326,27467
cauctions,cauctions_cfg10,2,7.0,0.180599,42578
cauctions,cauctions_cfg11,1,7.0,0.245497,27932
cauctions,cauctions_cfg11,2,7.0,0.180079,42095
cauctions,cauctions_cfg12,1,7.0,0.245507,27641
cauctions,cauctions_cfg12,2,7.0,0.179973,42593
cauctions,cauctions_cfg13,1,1.0124,0.246343,25851
cauctions,cauctions_cfg13,2,1.0177,0.18351,42797
cauctions,cauctions_cfg14,1,7.0,0.245488,27790
cauctions,cauctions_cfg14,2,7.0,0.179766,42589
cauctions,cauctions_cfg15,1,1.0113,0.246475,25759
cauctions,cauctions_cfg15,2,1.0184,0.183772,42215
cauctions,cauctions_cfg16,1,0.061,0.243809,28321
cauctions,cauctions_cfg16,2,0.0934,0.179607,42383
facilities,facilities_cfg10,1,6.9442,0.697175,81900
facilities,facilities_cfg10,2,6.9978,0.402593,40885
facilities,facilities_cfg11,1,6.9444,0.697389,82489
facilities,facilities_cfg11,2,6.9981,0.397909,40275
facilities,facilities_cfg12,1,6.9443,0.697044,82177
facilities,facilities_cfg12,2,6.9978,0.400923,40599
facilities,facilities_cfg13,1,2.553,0.697882,82139
facilities,facilities_cfg13,2,1.0373,0.399553,40579
facilities,facilities_cfg14,1,6.944,0.69717,81814
facilities,facilities_cfg14,2,6.998,0.403236,40959
facilities,facilities_cfg15,1,2.5463,0.696846,82515
facilities,facilities_cfg15,2,1.037,0.398908,40232
facilities,facilities_cfg16,1,0.082,0.69748,81973
facilities,facilities_cfg16,2,0.218,0.401506,40795
indset,indset_cfg10,1,7.0,0.099181,7816
indset,indset_cfg10,2,7.0,0.083789,17007
indset,indset_cfg11,1,7.0,0.120165,13473
indset,indset_cfg11,2,7.0,0.081473,24142
indset,indset_cfg12,1,7.0,0.097502,7529
indset,indset_cfg12,2,7.0,0.084834,17769
indset,indset_cfg13,1,1.4217,0.123994,12714
indset,indset_cfg13,2,1.403,0.084067,25015
indset,indset_cfg14,1,7.0,0.100882,8395
indset,indset_cfg14,2,7.0,0.083022,17105
indset,indset_cfg15,1,1.4229,0.124152,12236
indset,indset_cfg15,2,1.4029,0.085385,24568
indset,indset_cfg16,1,0.0855,0.114217,11646
indset,indset_cfg16,2,0.096,0.084515,22001
set_cover,set_cover_cfg10,1,7.0,0.200309,23331
set_cover,set_cover_cfg10,2,7.0,0.144218,39507
set_cover,set_cover_cfg11,1,7.0,0.201676,23620
set_cover,set_cover_cfg11,2,7.0,0.143346,39774
set_cover,set_cover_cfg12,1,7.0,0.199953,23566
set_cover,set_cover_cfg12,2,7.0,0.143987,39533
set_cover,set_cover_cfg13,1,1.0055,0.201153,21225
set_cover,set_cover_cfg13,2,1.0081,0.147597,39088
set_cover,set_cover_cfg14,1,7.0,0.200321,23372
set_cover,set_cover_cfg14,2,7.0,0.144119,39782
set_cover,set_cover_cfg15,1,1.0047,0.200542,20389
set_cover,set_cover_cfg15,2,1.0086,0.149048,38655
set_cover,set_cover_cfg16,1,0.0383,0.200551,25728
set_cover,set_cover_cfg16,2,0.0599,0.139519,40445
