Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,81973,7872,11342,13213,14176,14724,15010,15147,15286,97259
2,40795,1212,1475,1555,1583,1590,1594,1595,1595,42390
3,342,8,9,9,9,9,9,9,9,351
total,123110,9092,12826,14777,15768,16323,16613,16751,16890,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,84.28,8.09,11.66,13.59,14.58,15.14,15.43,15.57,15.72,100.00
2,96.24,2.86,3.48,3.67,3.73,3.75,3.76,3.76,3.76,100.00
3,97.44,2.28,2.56,2.56,2.56,2.56,2.56,2.56,2.56,100.00
total,87.94,6.49,9.16,10.55,11.26,11.66,11.87,11.96,12.06,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,58.55,5.62,8.10,9.44,10.13,10.52,10.72,10.82,10.92,69.47
2,29.14,0.87,1.05,1.11,1.13,1.14,1.14,1.14,1.14,30.28
3,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25
total,87.94,6.49,9.16,10.55,11.26,11.66,11.87,11.96,12.06,100.00
