Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,11911,1901,2928,3643,4245,4737,5205,5572,63554,75465
2,24241,3360,5020,5990,6757,7301,7745,8131,13898,38139
3,21378,2143,3011,3449,3723,3953,4117,4234,5018,26396

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,15.78,2.52,3.88,4.83,5.63,6.28,6.90,7.38,84.22,100.00
2,63.56,8.81,13.16,15.71,17.72,19.14,20.31,21.32,36.44,100.00
3,80.99,8.12,11.41,13.07,14.10,14.98,15.60,16.04,19.01,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,8.51,1.36,2.09,2.60,3.03,3.38,3.72,3.98,45.40,53.90
2,17.32,2.40,3.59,4.28,4.83,5.21,5.53,5.81,9.93,27.24
3,15.27,1.53,2.15,2.46,2.66,2.82,2.94,3.02,3.58,18.85
