sample_idx,sample_type,tied_best_scores,first_margin
0,3,1,0.03378380835056305
1,2,1,0.048397235572338104
2,1,3,6.667328125331551e-05
3,3,1,0.023517858237028122
4,3,17,2.000848326133564e-05
5,1,149,0.0003998656466137618
6,2,1,0.09241681545972824
7,3,1,0.03761778026819229
8,1,1,0.22969669103622437
9,2,2,8.751989662414417e-05
10,1,3,0.018916914239525795
11,3,1,0.22193880379199982
12,3,3,0.04046319052577019
13,1,1,0.16847799718379974
14,1,189,0.0004498038615565747
15,1,167,0.00032488509896211326
16,1,141,0.000369053304893896
17,3,1,0.00012502993922680616
18,1,243,0.000735477777197957
19,1,373,0.0007993301842361689
20,1,1,8.204052574001253e-05
21,1,247,0.00038734707050025463
22,1,435,0.9900000095367432
23,3,1,0.0021818073000758886
24,1,1,0.24242424964904785
25,3,1,0.010774372145533562
26,2,1,0.1046956405043602
27,3,1,0.024471180513501167
28,1,1,0.32543861865997314
29,2,2,0.015543820336461067
30,1,416,0.9900000095367432
31,1,166,0.9900000095367432
32,1,2,9.991719707613811e-05
33,1,1,0.166666641831398
34,1,1,0.08889493346214294
35,3,1,0.04696270078420639
36,2,4,0.03502702713012695
37,1,375,0.9900000095367432
38,1,132,0.0003998656466137618
39,1,207,0.0007194906938821077
40,2,1,0.05410446599125862
41,1,6,5.7149074564222246e-05
42,1,388,0.9900000095367432
43,1,199,0.9900000095367432
44,1,325,0.9900000095367432
45,2,1,0.0767846331000328
46,1,176,0.9900000095367432
47,1,154,0.9900000095367432
48,1,1,0.18675844371318817
49,1,130,0.9900000095367432
50,1,25,0.00010000658949138597
51,1,11,0.00019999318465124816
52,1,371,0.9900000095367432
53,3,1,0.010615315288305283
54,1,1,0.178571417927742
55,2,1,0.21918992698192596
56,1,4,8.32739970064722e-05
57,3,1,0.08621096611022949
58,1,39,0.0002499351103324443
59,2,1,0.1619047075510025
60,1,186,0.9900000095367432
61,2,1,0.09090911597013474
62,1,46,0.0002499351103324443
63,1,243,0.9900000095367432
64,1,409,0.001796774915419519
65,1,289,0.0007993301842361689
66,3,1,0.030543964356184006
67,1,345,0.0015974147245287895
68,1,407,0.9900000095367432
69,3,26,0.00020500471873674542
70,1,51,0.0002998921845573932
71,3,1,0.11547348648309708
72,2,1,0.4456101357936859
73,3,1,0.01838112622499466
74,1,240,0.9900000095367432
75,2,1,0.041180435568094254
76,1,180,0.0004997135256417096
77,1,320,0.9900000095367432
78,2,4,8.889573655324057e-05
79,2,12,0.0002499351103324443
80,1,1,0.014403987675905228
81,1,287,0.9900000095367432
82,3,1,0.005143109709024429
83,2,4,0.0001999531959882006
84,2,1,0.04229570925235748
85,1,242,0.9900000095367432
86,3,4,0.041666701436042786
87,1,250,0.0005996256368234754
88,1,242,0.000665128871332854
89,1,301,0.9900000095367432
90,1,328,0.9900000095367432
91,1,3,0.00014998004189692438
92,2,1,0.06250002980232239
93,2,36,0.0002998921845573932
94,3,2,0.01757827401161194
95,2,1,0.07575222104787827
96,2,1,0.04077671468257904
97,3,1,0.024064935743808746
98,3,1,0.09267766773700714
99,1,110,0.0002998921845573932
100,1,20,0.0001999531959882006
101,2,12,0.0002399532386334613
102,1,1,0.3297773599624634
103,2,1,0.008695625700056553
104,1,248,0.0005730417324230075
105,2,1,0.03590012714266777
