sample_idx,sample_type,tied_best_scores,first_margin
0,2,1,0.3329988121986389
1,1,47,0.10357632488012314
2,1,38,0.056003082543611526
3,2,1,0.4056524932384491
4,1,35,0.04748030751943588
5,1,1,0.2666291892528534
6,2,1,0.30941691994667053
7,2,1,0.24903924763202667
8,1,1,0.012755218893289566
9,2,1,0.1272491067647934
10,1,47,0.13121426105499268
11,1,43,0.009222788736224174
12,1,1,0.3232974410057068
13,1,2,6.14291857345961e-05
14,1,15,0.033305976539850235
15,1,1,0.27474018931388855
16,1,5,0.10956418514251709
17,1,67,0.1452147513628006
18,1,9,0.04890306666493416
19,1,29,0.025985106825828552
20,1,1,0.0623900331556797
21,2,1,0.014137030579149723
22,1,1,0.41395631432533264
23,1,11,0.0051850746385753155
24,1,1,0.26692190766334534
25,1,9,0.054965078830718994
26,1,1,0.2719142735004425
27,3,1,0.014749872498214245
28,1,5,0.0001640873815631494
29,1,38,0.000287875096546486
30,1,1,0.02874133735895157
31,1,42,0.0008492784691043198
32,2,1,0.004852128215134144
33,1,12,0.08534163981676102
34,1,1,0.1645873636007309
35,1,1,0.07948771119117737
36,3,1,0.15286517143249512
37,1,27,0.0002780967333819717
38,1,1,0.3051932752132416
39,1,52,0.044289324432611465
40,2,1,0.33254295587539673
41,1,36,0.10493127256631851
42,1,31,0.00039121898589655757
43,2,1,0.1003401055932045
44,1,1,0.36216869950294495
45,1,51,0.05579584464430809
46,1,63,0.9900000095367432
47,1,15,0.006324737798422575
48,2,1,0.14377084374427795
49,2,1,0.010839617811143398
50,2,3,0.11402830481529236
51,1,1,0.08435190469026566
52,1,5,0.00376943894661963
53,1,1,0.4085492491722107
54,1,13,0.011137115769088268
55,1,19,0.08144059777259827
56,1,50,0.0074166120029985905
57,1,5,0.00709285493940115
58,1,6,0.030939025804400444
59,1,39,0.00634020147845149
60,1,11,0.032941099256277084
61,1,52,0.030109407380223274
62,2,1,0.4519183039665222
63,1,1,0.07711295783519745
64,1,1,0.3941260874271393
65,1,1,0.25435519218444824
66,2,1,0.38380640745162964
67,1,25,0.0002749251143541187
68,3,1,0.21379578113555908
69,2,1,0.03672059625387192
70,2,1,0.11129738390445709
71,1,5,0.05442854017019272
72,2,1,0.10851936787366867
73,1,8,0.07143592834472656
74,1,54,0.0009970401879400015
75,2,1,0.021930145099759102
76,2,1,0.021107668057084084
77,1,50,0.12750162184238434
78,1,22,0.024148058146238327
79,2,2,0.0007327850325964391
80,1,5,0.03681567311286926
81,2,3,0.015966633334755898
82,1,30,0.20152099430561066
83,1,14,0.019092869013547897
84,2,1,0.297864705324173
85,2,1,0.005385056138038635
86,1,54,0.11216813325881958
87,2,14,0.02864149957895279
88,1,1,0.27417558431625366
89,2,1,0.027076588943600655
90,2,1,0.3498862087726593
91,1,1,0.3845879137516022
92,1,1,0.04840988293290138
93,2,1,0.1717837005853653
94,2,1,0.005919489543884993
