Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,20389,2137,3904,5501,7131,8653,10127,11512,57011,77400
2,38655,2335,3753,4740,5518,6086,6499,6863,8737,47392
3,14847,257,317,343,349,356,356,357,361,15208
total,73891,4729,7974,10584,12998,15095,16982,18732,66109,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,26.34,2.76,5.04,7.11,9.21,11.18,13.08,14.87,73.66,100.00
2,81.56,4.93,7.92,10.00,11.64,12.84,13.71,14.48,18.44,100.00
3,97.63,1.69,2.08,2.26,2.29,2.34,2.34,2.35,2.37,100.00
total,52.78,3.38,5.70,7.56,9.28,10.78,12.13,13.38,47.22,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,14.56,1.53,2.79,3.93,5.09,6.18,7.23,8.22,40.72,55.29
2,27.61,1.67,2.68,3.39,3.94,4.35,4.64,4.90,6.24,33.85
3,10.61,0.18,0.23,0.24,0.25,0.25,0.25,0.26,0.26,10.86
total,52.78,3.38,5.70,7.56,9.28,10.78,12.13,13.38,47.22,100.00
