Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more
1,25807,2598,4680,6519,8330,10009,11576,13091,59352
2,40030,2039,3179,3944,4547,4964,5284,5519,6633
3,8054,92,115,121,121,122,122,122,124

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more
1,30.30,3.05,5.50,7.66,9.78,11.75,13.59,15.37,69.70
2,85.79,4.37,6.81,8.45,9.74,10.64,11.32,11.83,14.21
3,98.48,1.12,1.41,1.48,1.48,1.49,1.49,1.49,1.52

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more
1,18.43,1.86,3.34,4.66,5.95,7.15,8.27,9.35,42.39
2,28.59,1.46,2.27,2.82,3.25,3.55,3.77,3.94,4.74
3,5.75,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09
