sample_type_selector,sample_type_holo,tied_best_scores,first_margin
2,1,1,0.3329988121986389
1,1,47,0.10357632488012314
1,1,38,0.056003082543611526
1,1,1,0.4056524932384491
1,1,35,0.04748030751943588
1,1,1,0.2666291892528534
2,1,1,0.30941691994667053
2,2,1,0.24903924763202667
2,1,1,0.012755218893289566
2,2,1,0.1272491067647934
1,1,47,0.13121426105499268
1,1,43,0.009222788736224174
1,1,1,0.3232974410057068
1,1,2,6.14291857345961e-05
1,1,15,0.033305976539850235
1,1,1,0.27474018931388855
1,1,5,0.10956418514251709
1,1,67,0.1452147513628006
1,1,9,0.04890306666493416
1,1,29,0.025985106825828552
1,1,1,0.0623900331556797
3,2,1,0.014137030579149723
1,1,1,0.41395631432533264
2,1,11,0.0051850746385753155
1,1,1,0.26692190766334534
1,1,9,0.054965078830718994
1,1,1,0.2719142735004425
3,3,1,0.014749872498214245
1,1,5,0.0001640873815631494
1,1,38,0.000287875096546486
1,2,1,0.02874133735895157
1,1,42,0.0008492784691043198
2,1,1,0.004852128215134144
1,1,12,0.08534163981676102
1,1,1,0.1645873636007309
1,1,1,0.07948771119117737
2,2,1,0.15286517143249512
1,1,27,0.0002780967333819717
1,2,1,0.3051932752132416
1,1,52,0.044289324432611465
1,1,1,0.33254295587539673
1,1,36,0.10493127256631851
1,1,31,0.00039121898589655757
1,1,1,0.1003401055932045
2,1,1,0.36216869950294495
1,1,51,0.05579584464430809
1,1,63,0.9900000095367432
1,1,15,0.006324737798422575
2,2,1,0.14377084374427795
2,2,1,0.010839617811143398
2,1,3,0.11402830481529236
1,1,1,0.08435190469026566
1,1,5,0.00376943894661963
2,1,1,0.4085492491722107
1,1,13,0.011137115769088268
1,1,19,0.08144059777259827
1,1,50,0.0074166120029985905
1,1,5,0.00709285493940115
1,1,6,0.030939025804400444
1,1,39,0.00634020147845149
1,1,11,0.032941099256277084
1,1,52,0.030109407380223274
1,1,1,0.4519183039665222
2,1,1,0.07711295783519745
1,1,1,0.3941260874271393
1,1,1,0.25435519218444824
2,2,1,0.38380640745162964
1,1,25,0.0002749251143541187
3,3,1,0.21379578113555908
1,2,1,0.03672059625387192
2,2,1,0.11129738390445709
1,1,5,0.05442854017019272
2,2,1,0.10851936787366867
1,1,8,0.07143592834472656
1,1,54,0.0009970401879400015
2,2,1,0.021930145099759102
2,2,1,0.021107668057084084
1,1,50,0.12750162184238434
1,1,22,0.024148058146238327
2,2,2,0.0007327850325964391
2,1,5,0.03681567311286926
1,1,3,0.015966633334755898
1,1,30,0.20152099430561066
1,1,14,0.019092869013547897
2,1,1,0.297864705324173
2,2,1,0.005385056138038635
1,1,54,0.11216813325881958
1,1,14,0.02864149957895279
2,2,1,0.27417558431625366
2,2,1,0.027076588943600655
1,2,1,0.3498862087726593
1,1,1,0.3845879137516022
2,2,1,0.04840988293290138
2,2,1,0.1717837005853653
2,2,1,0.005919489543884993
1,1,15,0.07465781271457672
2,2,1,0.056075531989336014
2,2,1,0.11141049116849899
2,2,1,0.004661657847464085
1,1,3,0.12422389537096024
1,1,37,0.08024577796459198
2,2,1,0.022747566923499107
