tied_best_scores,diff_lt_1e-1,diff_lt_1e-2,diff_lt_1e-3,diff_lt_1e-4,diff_lt_1e-5,diff_lt_1e-6,diff_eq_0
1,46,18,3,2,1,1,1
47,33,19,10,1,1,1,1
38,43,17,5,1,1,1,1
1,43,15,8,2,1,1,1
35,43,14,4,2,1,1,1
1,34,14,4,2,1,1,1
1,39,24,10,4,1,1,1
1,37,24,7,5,1,1,1
1,37,22,6,1,1,1,1
1,41,19,7,1,1,1,1
47,30,24,3,1,1,1,1
43,37,17,2,1,1,1,1
1,45,19,4,1,1,1,1
2,40,21,9,1,1,1,1
15,35,18,10,2,1,1,1
1,43,26,8,1,1,1,1
5,47,18,6,3,1,1,1
67,44,26,8,1,1,1,1
9,40,14,5,1,1,1,1
29,47,20,4,2,1,1,1
1,40,19,7,1,1,1,1
1,38,16,7,2,1,1,1
1,42,14,2,2,1,1,1
11,40,21,4,1,1,1,1
1,36,16,4,1,1,1,1
9,43,18,4,1,1,1,1
1,38,28,8,1,1,1,1
1,40,23,5,1,1,1,1
5,34,23,6,1,1,1,1
38,33,23,4,1,1,1,1
1,44,14,4,1,1,1,1
42,30,16,7,2,1,1,1
1,43,24,5,2,1,1,1
12,36,24,10,1,1,1,1
1,40,16,4,1,1,1,1
1,37,19,5,3,1,1,1
1,47,16,2,1,1,1,1
27,35,30,6,2,1,1,1
1,48,20,3,1,1,1,1
52,33,24,8,1,1,1,1
1,35,11,1,1,1,1,1
36,38,17,3,1,1,1,1
31,38,19,5,2,1,1,1
1,38,17,4,1,1,1,1
1,35,12,5,2,1,1,1
51,38,24,7,1,1,1,1
63,36,14,6,2,2,1,1
15,39,18,7,1,1,1,1
1,46,25,5,1,1,1,1
1,41,20,6,2,1,1,1
3,39,18,5,1,1,1,1
1,40,17,4,2,1,1,1
5,41,15,2,1,1,1,1
1,44,18,1,1,1,1,1
13,43,18,5,2,2,1,1
19,38,16,4,1,1,1,1
50,36,20,5,1,1,1,1
5,44,20,3,1,1,1,1
6,39,18,4,1,1,1,1
39,44,26,10,1,1,1,1
11,38,17,7,2,1,1,1
52,43,17,2,1,1,1,1
1,51,19,3,1,1,1,1
1,44,18,5,1,1,1,1
1,43,21,5,1,1,1,1
1,45,20,7,1,1,1,1
1,44,28,5,1,1,1,1
25,32,21,12,2,1,1,1
1,40,19,4,1,1,1,1
1,41,21,4,1,1,1,1
1,32,24,7,3,1,1,1
5,40,25,7,1,1,1,1
1,45,25,7,2,1,1,1
8,41,19,6,2,1,1,1
54,33,18,8,3,1,1,1
1,45,19,4,1,1,1,1
1,38,21,4,2,1,1,1
50,44,21,5,1,1,1,1
22,39,31,10,3,1,1,1
2,34,26,8,1,1,1,1
5,49,17,3,1,1,1,1
3,46,27,5,1,1,1,1
30,42,35,11,1,1,1,1
14,41,23,5,1,1,1,1
1,52,24,7,2,2,1,1
1,43,19,8,3,1,1,1
54,45,22,6,2,1,1,1
14,44,28,4,1,1,1,1
1,40,10,3,1,1,1,1
1,41,20,6,2,1,1,1
1,38,18,6,1,1,1,1
1,37,14,5,1,1,1,1
1,43,16,4,1,1,1,1
1,33,16,6,1,1,1,1
1,39,12,4,2,2,1,1
15,27,22,5,3,1,1,1
1,41,12,1,1,1,1,1
1,35,14,5,1,1,1,1
1,41,14,6,2,1,1,1
3,44,11,2,1,1,1,1
