cfg_index,cfg,test_eval_acc_Loss,test_eval_acc_Accuracy,test_eval_acc_Top5_Accuracy,test_eval_acc_Score_diff,test_eval_acc_Normalized_score_diff,test_eval_acc_n_samples
0,indset_cfg0,5.08,55.55%,76.20%,0.09,0.10,20000
2,indset_cfg2,4.96,54.50%,75.59%,0.09,0.10,20000
10,indset_cfg10,5.30,53.55%,68.61%,0.15,0.14,20000
11,indset_cfg11,4.96,56.67%,77.68%,0.10,0.11,20000
12,indset_cfg12,5.32,53.29%,69.21%,0.15,0.15,20000
13,indset_cfg13,4.79,54.23%,77.10%,0.11,0.13,20000
14,indset_cfg14,5.27,53.71%,69.28%,0.14,0.14,20000
15,indset_cfg15,4.84,53.16%,76.18%,0.11,0.14,20000
16,indset_cfg16,5.08,54.73%,73.65%,0.09,0.10,20000
17,indset_cfg17,6.15,19.00%,39.00%,0.47,0.51,100
18,indset_cfg18,6.13,25.00%,39.00%,0.44,0.48,100
19,indset_cfg19,4.61,55.69%,78.94%,0.09,0.11,20000
20,indset_cfg20,4.88,54.46%,76.48%,0.10,0.12,20000
