parameter,set_cover_cfg0,set_cover_cfg1,set_cover_cfg10,set_cover_cfg11,set_cover_cfg12,set_cover_cfg13,set_cover_cfg14,set_cover_cfg15,set_cover_cfg16,set_cover_cfg17,set_cover_cfg18,set_cover_cfg19,set_cover_cfg2,set_cover_cfg20,set_cover_cfg21,set_cover_cfg22,variation
breaking_selector_model_path,,./models/raw/set_cover_cfg0 # -> ./models/raw/set_cover_cfg0,,,,,,,,,,,,,,,different
epochs,2 # -> 2,1,2,2,2,2,2,2,2,2,2,2,2 # -> 2,2,1,1,different
eval_every,100000,10000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,different
loss_option,ranking,ranking,PairwiseLogisticLoss,NormalizedPairwiseLogisticLoss,LambdaARPLoss2,TierNormalizedLambdaARP2,LambdaARPLoss2,TierNormalizedLambdaARP2,LiPO,LambdaNDCGLoss2,TopTierAverageSoftmaxLoss,LambdaNDCGLoss1,ranking,TierAwarePairwiseLogisticLoss,LambdaNDCGLoss2,LambdaNDCGLoss2,different
max_samples_per_split,,128,,,,,,,,,,,,,,,different
model,raw # -> raw,holo # -> holo,raw,raw,raw,raw,raw,raw,raw,raw,raw,STGNN,raw # -> raw,raw,raw,raw,different
num_heads,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,different
print_every,100000,10000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,different
relevance_type,,,linear,linear,linear,linear,exponential,exponential,true_score,linear,linear,linear,,linear,linear,linear,different
save_every,100000,10000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,different
tier1_ub,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,different
use_default_features,,,,,,,,,,,,,,,True,False,different
use_normalized_scores_as_relevance,False,,,,,,,,,,,,true # -> true,,,,different
batch_size,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,persistent
binarize_edge_features,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,persistent
config_root,cfg,cfg,cfg,cfg,cfg,cfg,cfg,cfg,cfg,cfg,cfg,cfg,cfg,cfg,cfg,cfg,persistent
dataset_path,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,legacy_code_generator/data/samples/setcover/500r_1000c_0.05d,persistent
edge_nfeats,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,persistent
file_pattern,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,sample_*.pkl,persistent
hidden_channels,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,persistent
isab_num_inds,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,persistent
log_dir,./logs,./logs,./logs,./logs,./logs,./logs,./logs,./logs,./logs,./logs,./logs,./logs,./logs,./logs,./logs,./logs,persistent
lr,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,persistent
model_dir,./models,./models,./models,./models,./models,./models,./models,./models,./models,./models,./models,./models,./models,./models,./models,./models,persistent
model_suffix,,,,,,,,,,,,,,,,,persistent
mp_layers,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,persistent
n_breakings,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,persistent
num_layers,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,persistent
resume,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,persistent
resume_model_dir,,,,,,,,,,,,,,,,,persistent
seed,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,persistent
sym_break_layers,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,persistent
use_set_transformer,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,persistent
weight_decay,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,persistent
