cfg_index,cfg,test_eval_acc_Loss,test_eval_acc_Accuracy,test_eval_acc_Top5_Accuracy,test_eval_acc_Score_diff,test_eval_acc_Normalized_score_diff,test_eval_acc_n_samples
0,set_cover_cfg0,3.02,61.73%,88.87%,0.96,0.11,20000
1,set_cover_cfg1,4.37,15.62%,35.94%,4.45,0.58,128
2,set_cover_cfg2,3.02,62.02%,89.40%,0.95,0.11,20000
10,set_cover_cfg10,3.28,58.09%,85.46%,1.18,0.13,20000
11,set_cover_cfg11,3.31,57.99%,85.72%,1.17,0.13,20000
12,set_cover_cfg12,3.33,58.51%,85.54%,1.17,0.13,20000
13,set_cover_cfg13,3.27,55.88%,82.94%,1.34,0.15,20000
14,set_cover_cfg14,3.32,58.19%,85.61%,1.17,0.13,20000
15,set_cover_cfg15,3.31,54.76%,81.66%,1.39,0.16,20000
16,set_cover_cfg16,3.22,60.88%,88.52%,1.00,0.12,20000
17,set_cover_cfg17,3.05,56.00%,88.00%,0.90,0.11,100
18,set_cover_cfg18,4.08,57.14%,84.52%,1.23,0.14,20000
19,set_cover_cfg19,2.98,59.24%,86.57%,1.09,0.13,20000
